"value"
0
0.1339623
0
0.12582822
0
0
0
0.11247646
0
0.0003161477
0
0
0
0.09708968
0
0
0.0024986863
0.13375661
0
0
0
0.07483849
0.023985963
0
0.019678388
0.011904599
0
0
0.09550392
0.034073375
0
0.11520583
0.035395715
0.008409491
0.0005904259
0
0
0
0
0.10946732
0.08140992
0.11171664
0
0
0
0.014394103
0.04529074
0.046436816
0
0
0.069389775
0
0
0.0010355619
0.07135591
0
0
0
0.124837495
0
0
0
0
0
0.028413953
0
0.004371036
0
0
0.11200696
0.006139124
0.00028034486
0.0008770323
0
0.05586726
0.13863808
0
0.011146787
0
0.014707943
0.11876008
0.03790341
0.08607826
0.104658455
0.06006394
0.043573953
0.13790493
0
0.08147253
0
0.0076624183
0.020250864
0
0.03333278
0.023536142
0.06244131
0.11863265
0
0
0
0.057796575
0
0
0.08866572
0
0.12805428
0.01505821
0.11415781
0
0
0
0
0.021551313
0
0
0
0
0.09837988
0.14430301
0.10056488
0
0
0
0.11447367
0.12380217
0.07836418
0
0.016387135
0
0
0
0.07298491
0
0.078250915
0
0
0.07586207
0
0.019992016
0
0.015676055
0.016298918
0.02112801
0
0
0.07313163
0.07577355
0.09316705
0
0
0
0
0
0.02162832
0.09816441
0
0.0736733
0.017308958
0.09454404
0.1065582
0.08611651
0
0.077951245
0.102459006
0
0.032711998
0.12700562
0
0
0.12458463
0.109175876
0.016220901
0.107950605
0
0
0.012469528
0.088530175
0.10327234
0
0
0
0.03621558
0
0
0.0036794925
0
0
0.15336393
0
0
0
0.104904875
0
0.0753547
0.06398509
0
0.026462428
0.09131532
0.11580854
0.15548474
0.11360493
0.14942628
0.077371076
0.10131839
0.07703925
0.06688635
0
0
0
0.04811331
0.048782952
0.08669967
0.099040225
0.09144069
0.03212808
0
0.008459253
0
0.13741732
0.011004869
0
0.028212704
0.0014981176
0.07454397
0.00046939636
0.0045068245
0
0
0
0.057241272
0
0
0.01428475
0
0.0007752795
0
0
0.007920321
0.08461005
0
0.07879713
0.03601507
0
0.015548192
0
0
0.016151508
0.16809317
0
0
0.014320859
0
0.087250486
0.15961419
0.11473089
0
0.05476025
0
0
0
0.09903346
0
0.009242776
0.047799192
0.024392787
0
0
0.0655036
0.1418108
0
0
0.00068668486
0
0
0
0.027009793
0.013226642
0
0
