SG_UF,DS_GASTO_NIVEL1,total
PE,OUTRAS DESPESAS GERAIS,256343.75999999998
PE,OUTRAS DESPESAS PARA PARTICIPAÇÃO DA MULHER NA POLÍTICA,30000
PE,OUTROS MATERIAIS PARA COMERCIALIZAÇÃO / DISTRIBUIÇÃO,1600
PE,OUTROS ORDINÁRIAS,277052.46
PI,OUTRAS DESPESAS COM PROPAGANDA DOUTRINÁRIA E POLÍTICA,10979
PI,OUTRAS DESPESAS GERAIS,300994.62
PI,OUTRAS DESPESAS PARA PARTICIPAÇÃO DA MULHER NA POLÍTICA,4186
PI,OUTROS MATERIAIS PARA COMERCIALIZAÇÃO / DISTRIBUIÇÃO,4100
PI,OUTROS MULHERES,2500
PI,OUTROS ORDINÁRIAS,248606
PR,OUTRAS DESPESAS COM PROPAGANDA DOUTRINÁRIA E POLÍTICA,121335.88
PR,OUTRAS DESPESAS GERAIS,282145.76
PR,OUTRAS DESPESAS PARA PARTICIPAÇÃO DA MULHER NA POLÍTICA,36760.22
PR,OUTROS MATERIAIS PARA COMERCIALIZAÇÃO / DISTRIBUIÇÃO,58314.5
PR,OUTROS MULHERES,35
PR,OUTROS ORDINÁRIAS,14457.95
RJ,OUTRAS DESPESAS COM PROPAGANDA DOUTRINÁRIA E POLÍTICA,60116.66
RJ,OUTRAS DESPESAS GERAIS,251733.83
RJ,OUTRAS DESPESAS PARA PARTICIPAÇÃO DA MULHER NA POLÍTICA,60387.01
RJ,OUTROS MATERIAIS PARA COMERCIALIZAÇÃO / DISTRIBUIÇÃO,151519.54
RJ,OUTROS ORDINÁRIAS,37416.16
RN,OUTRAS DESPESAS COM PROPAGANDA DOUTRINÁRIA E POLÍTICA,42200
RN,OUTRAS DESPESAS GERAIS,546167.77
RN,OUTRAS DESPESAS PARA PARTICIPAÇÃO DA MULHER NA POLÍTICA,9433.75
RN,OUTROS MATERIAIS PARA COMERCIALIZAÇÃO / DISTRIBUIÇÃO,860
RN,OUTROS MULHERES,5860
RN,OUTROS ORDINÁRIAS,416047.57
RO,OUTRAS DESPESAS COM PROPAGANDA DOUTRINÁRIA E POLÍTICA,51197.3
RO,OUTRAS DESPESAS GERAIS,195675.7
RO,OUTRAS DESPESAS PARA PARTICIPAÇÃO DA MULHER NA POLÍTICA,22000
RO,OUTROS MATERIAIS PARA COMERCIALIZAÇÃO / DISTRIBUIÇÃO,40033
RO,OUTROS ORDINÁRIAS,12751.17
RR,OUTRAS DESPESAS COM PROPAGANDA DOUTRINÁRIA E POLÍTICA,19064
RR,OUTRAS DESPESAS GERAIS,33792.93
RR,OUTRAS DESPESAS PARA PARTICIPAÇÃO DA MULHER NA POLÍTICA,82.68
RR,OUTROS MATERIAIS PARA COMERCIALIZAÇÃO / DISTRIBUIÇÃO,2150
RR,OUTROS MULHERES,3760
RR,OUTROS ORDINÁRIAS,5454.6
RS,OUTRAS DESPESAS COM PROPAGANDA DOUTRINÁRIA E POLÍTICA,689912.5
RS,OUTRAS DESPESAS GERAIS,746370.36
RS,OUTROS MATERIAIS PARA COMERCIALIZAÇÃO / DISTRIBUIÇÃO,36816.33
RS,OUTROS MULHERES,803
RS,OUTROS ORDINÁRIAS,207634.92
SC,OUTRAS DESPESAS COM PROPAGANDA DOUTRINÁRIA E POLÍTICA,2211642.43
SC,OUTRAS DESPESAS GERAIS,104476.81
